Masses,log(age),log(T_MS),remanent_mass,remanent_ID,actual
0.1170899813304262,7.358156015441902,12.328700658114418,0.40676280796501646,2,MS
0.6149040664111949,9.780522140245598,10.527981587301765,0.46102454323882025,2,MS
4.668147827470167,5.096618275633881,8.327138498727109,0.9028281131942483,2,MS
1.0169493544247437,4.274618246046043,9.981751687608456,0.504847479632297,2,MS
0.3614234899167036,1.4102997526318517,11.10495906213221,0.4333951604009207,2,MS
0.09619499396072123,2.271380243304982,12.54211882073199,0.4044852543417186,2,MS
0.231982408170484,4.117801263392208,11.58636236885206,0.41928608249058275,2,MS
0.34790055391713526,5.83761847133435,11.14636219945207,0.43192116037696776,2,MS
0.09826601287977757,8.802423390241218,12.518991662465853,0.40471099540389577,2,MS
0.12212379051208938,5.582819953790103,12.282999311028917,0.4073114931658178,2,MS
0.13078649218017632,4.429728351550706,12.208592770659067,0.40825572764763923,2,MS
0.11976415837102408,6.609981251593279,12.304182832801528,0.40705429326244164,2,MS
0.4915100682391094,7.910200524219592,10.771168953806965,0.44757459743806294,2,MS
1.0653965703856791,7.177679114555681,9.931221763961913,0.510128226172039,2,MS
